Date,City,Non-violent,Daily Count Change,Non-violent Daily % Change,Violent,Daily Count Change,Violent Daily % Change
9-Jun,Los Angeles,335,-2,-0.59%,151,-7,-4.43%
10-Jun,Los Angeles,359,24,7.16%,152,1,0.66%
11-Jun,Los Angeles,378,19,5.29%,165,13,8.55%
12-Jun,Los Angeles,424,46,12.17%,171,6,3.64%
13-Jun,Los Angeles,353,-71,-16.75%,165,-6,-3.51%
14-Jun,Los Angeles,359,6,1.70%,170,5,3.03%
15-Jun,Los Angeles,398,39,10.86%,170,0,0.00%
16-Jun,Los Angeles,405,7,1.76%,157,-13,-7.65%
17-Jun,Los Angeles,373,-32,-7.90%,147,-10,-6.37%
18-Jun,Los Angeles,410,37,9.92%,155,8,5.44%
19-Jun,Los Angeles,398,-12,-2.93%,161,6,3.87%
20-Jun,Los Angeles,385,-13,-3.27%,182,21,13.04%
21-Jun,Los Angeles,373,-12,-3.12%,202,20,10.99%
22-Jun,Los Angeles,370,-3,-0.80%,175,-27,-13.37%
23-Jun,Los Angeles,369,-1,-0.27%,153,-22,-12.57%
24-Jun,Los Angeles,386,17,4.61%,154,1,0.65%
25-Jun,Los Angeles,430,44,11.40%,182,28,18.18%
26-Jun,Los Angeles,435,5,1.16%,179,-3,-1.65%
27-Jun,Los Angeles,370,-65,-14.94%,152,-27,-15.08%
28-Jun,Los Angeles,345,-25,-6.76%,167,15,9.87%
29-Jun,Los Angeles,410,65,18.84%,153,-14,-8.38%
30-Jun,Los Angeles,361,-49,-11.95%,142,-11,-7.19%
